DATE,기준금리_한국,기준금리_미국,생산자물가지수_한국,생산자물가지수_미국
1995-01-01,,5.5,65.98,68.06
1995-02-01,,6,66.23,68.39
1995-03-01,,6,66.71,68.61
1995-04-01,,6,67.11,69
1995-05-01,,6,67.33,69.17
1995-06-01,,6,67.39,69.39
1995-07-01,,5.75,67.52,69.39
1995-08-01,,5.75,67.53,69.28
1995-09-01,,5.75,67.97,69.33
1995-10-01,,5.75,67.67,69.39
1995-11-01,,5.75,67.45,69.44
1995-12-01,,5.5,67.72,69.61
1996-01-01,,5.25,68.58,69.94
1996-02-01,,5.25,68.82,69.89
1996-03-01,,5.25,68.64,70
1996-04-01,,5.25,68.96,70.55
1996-05-01,,5.25,69,70.94
1996-06-01,,5.25,69.22,70.88
1996-07-01,,5.25,69.72,70.88
1996-08-01,,5.25,69.8,71.05
1996-09-01,,5.25,69.94,70.99
1996-10-01,,5.25,69.97,70.88
1996-11-01,,5.25,69.99,70.99
1996-12-01,,5.25,70.18,71.49
1997-01-01,,5.25,71.01,71.82
1997-02-01,,5.25,71.3,71.16
1997-03-01,,5.5,71.25,70.5
1997-04-01,,5.5,71.45,70.33
1997-05-01,,5.5,71.53,70.55
1997-06-01,,5.5,71.6,70.44
1997-07-01,,5.5,71.6,70.27
1997-08-01,,5.5,71.74,70.44
1997-09-01,,5.5,71.96,70.61
1997-10-01,,5.5,71.82,70.77
1997-11-01,,5.5,72.2,70.83
1997-12-01,,5.5,76.9,70.22
1998-01-01,,5.5,80.17,69.44
1998-02-01,,5.5,82.2,69.22
1998-03-01,,5.5,82.02,69.06
1998-04-01,,5.5,82.1,69.17
1998-05-01,,5.5,81.21,69.28
1998-06-01,,5.5,81.13,69.11
1998-07-01,,5.5,80.73,69.17
1998-08-01,,5.5,80.15,68.78
1998-09-01,,5.25,80.21,68.56
1998-10-01,,5,80.24,68.67
1998-11-01,,4.75,80.11,68.45
1998-12-01,,4.75,79.66,68
1999-01-01,,4.75,78.8,68.06
1999-02-01,,4.75,78.62,67.73
1999-03-01,,4.75,78.48,67.89
1999-04-01,,4.75,78.69,68.45
1999-05-01,4.75,4.75,79.02,69.06
1999-06-01,4.75,5,78.52,69.33
1999-07-01,4.75,5,78.39,69.61
1999-08-01,4.75,5.25,78.9,70.27
1999-09-01,4.75,5.25,79.28,70.88
1999-10-01,4.75,5.25,80.11,70.72
1999-11-01,4.75,5.5,80.58,71.05
1999-12-01,4.75,5.5,80.38,70.77
2000-01-01,4.75,5.5,81.22,71.05
2000-02-01,5,5.75,81.01,71.88
2000-03-01,5,6,80.96,72.43
2000-04-01,5,6,80.57,72.38
2000-05-01,5,6.5,80.37,72.88
2000-06-01,5,6.5,80.57,74.1
2000-07-01,5,6.5,80.65,74.04
2000-08-01,5,6.5,80.65,73.6
2000-09-01,5,6.5,80.92,74.48
2000-10-01,5.25,6.5,80.84,74.98
2000-11-01,5.25,6.5,80.8,74.76
2000-12-01,5.25,6.5,80.9,75.42
2001-01-01,5.25,5.5,75.17,77.53
2001-02-01,5,5.5,75.17,76.09
2001-03-01,5,5,75.27,75.26
2001-04-01,5,4.5,75.48,75.54
2001-05-01,5,4,75.68,75.76
2001-06-01,5,3.75,75.58,75.04
2001-07-01,4.75,3.75,74.55,73.87
2001-08-01,4.5,3.5,74.14,73.87
2001-09-01,4,3,74.65,73.82
2001-10-01,4,2.5,73.62,72.16
2001-11-01,4,2,72.8,71.88
2001-12-01,4,1.75,72.18,70.94
2002-01-01,4,1.75,72.8,71.16
2002-02-01,4,1.75,72.69,71.1
2002-03-01,4,1.75,73.31,71.88
2002-04-01,4,1.75,74.55,72.43
2002-05-01,4.25,1.75,74.65,72.43
2002-06-01,4.25,1.75,74.34,72.49
2002-07-01,4.25,1.75,74.34,72.66
2002-08-01,4.25,1.75,74.65,72.82
2002-09-01,4.25,1.75,75.99,73.26
2002-10-01,4.25,1.75,76.82,73.76
2002-11-01,4.25,1.25,75.79,73.71
2002-12-01,4.25,1.25,76.3,73.6
2003-01-01,4.25,1.25,73.83,74.93
2003-02-01,4.25,1.25,74.76,76.2
2003-03-01,4.25,1.25,74.96,78.19
2003-04-01,4.25,1.25,74.03,75.76
2003-05-01,4,1.25,72.9,75.7
2003-06-01,4,1,72.9,76.42
2003-07-01,3.75,1,73,76.25
2003-08-01,3.75,1,73.31,76.42
2003-09-01,3.75,1,73.62,76.7
2003-10-01,3.75,1,73.83,77.14
2003-11-01,3.75,1,74.14,76.92
2003-12-01,3.75,1,73.93,77.25
2004-01-01,3.75,1,74.86,78.3
2004-02-01,3.75,1,74.86,78.69
2004-03-01,3.75,1,75.89,79.25
2004-04-01,3.75,1,76.92,80.19
2004-05-01,3.75,1,78.67,81.29
2004-06-01,3.75,1.25,79.19,81.52
2004-07-01,3.75,1.25,79.5,81.63
2004-08-01,3.5,1.5,81.04,81.96
2004-09-01,3.5,1.75,81.87,81.79
2004-10-01,3.5,1.75,83.73,83.07
2004-11-01,3.25,2,83.31,83.79
2004-12-01,3.25,2.25,83.21,83.18
2005-01-01,3.25,2.25,81.87,83.56
2005-02-01,3.25,2.5,81.97,83.95
2005-03-01,3.25,2.75,83.21,85.12
2005-04-01,3.25,2.75,83.31,85.84
2005-05-01,3.25,3,82.9,85.45
2005-06-01,3.25,3.25,83.52,85.45
2005-07-01,3.25,3.25,84.24,86.56
2005-08-01,3.25,3.5,84.55,87.28
2005-09-01,3.25,3.75,86.1,89.82
2005-10-01,3.5,3.75,86.82,92.04
2005-11-01,3.5,4,85.79,90.65
2005-12-01,3.75,4.25,86.3,90.27
2006-01-01,3.75,4.5,88.16,90.99
2006-02-01,4,4.5,88.26,89.6
2006-03-01,4,4.75,88.78,89.82
2006-04-01,4,4.75,89.6,90.99
2006-05-01,4,5,89.81,91.82
2006-06-01,4.25,5.25,90.22,91.98
2006-07-01,4.25,5.25,90.74,92.37
2006-08-01,4.5,5.25,90.32,92.98
2006-09-01,4.5,5.25,89.81,91.59
2006-10-01,4.5,5.25,89.09,89.82
2006-11-01,4.5,5.25,88.98,91.15
2006-12-01,4.5,5.25,88.88,91.71
2007-01-01,4.5,5.25,89.09,90.82
2007-02-01,4.5,5.25,89.19,92.37
2007-03-01,4.5,5.25,89.91,93.75
2007-04-01,4.5,5.25,90.22,94.92
2007-05-01,4.5,5.25,90.84,95.97
2007-06-01,4.5,5.25,90.94,96.25
2007-07-01,4.75,5.25,91.25,96.97
2007-08-01,5,5.25,91.46,95.47
2007-09-01,5,4.75,91.97,96.08
2007-10-01,5,4.5,92.9,96.74
2007-11-01,5,4.5,94.45,99.13
2007-12-01,5,4.25,94.96,98.9
2008-01-01,5,3,96.1,100.23
2008-02-01,5,3,97.03,101.17
