DATE,소비자심리지수,소비자물가지수_한국,소비자물가지수_미국
1995-01-01,,58.87,68.93
1995-02-01,,59.11,69.2
1995-03-01,,59.71,69.43
1995-04-01,,60.07,69.66
1995-05-01,,60.19,69.8
1995-06-01,,60.01,69.94
1995-07-01,,60.19,69.94
1995-08-01,,60.55,70.12
1995-09-01,,61.1,70.26
1995-10-01,,60.8,70.49
1995-11-01,,60.67,70.44
1995-12-01,,61.1,70.39
1996-01-01,,61.7,70.81
1996-02-01,,61.94,71.04
1996-03-01,,62.36,71.4
1996-04-01,,62.78,71.68
1996-05-01,,63.14,71.82
1996-06-01,,63.14,71.86
1996-07-01,,63.44,72
1996-08-01,,63.74,72.14
1996-09-01,,63.87,72.37
1996-10-01,,63.87,72.6
1996-11-01,,63.87,72.73
1996-12-01,,64.1,72.73
1997-01-01,,64.59,72.96
1997-02-01,,64.95,73.19
1997-03-01,,65.19,73.38
1997-04-01,,65.49,73.47
1997-05-01,,65.55,73.42
1997-06-01,,65.67,73.51
1997-07-01,,65.79,73.61
1997-08-01,,66.27,73.74
1997-09-01,,66.57,73.93
1997-10-01,,66.57,74.11
1997-11-01,,66.63,74.06
1997-12-01,,68.32,73.97
1998-01-01,,69.94,74.11
1998-02-01,,71.15,74.25
1998-03-01,,71.03,74.38
1998-04-01,,71.27,74.52
1998-05-01,,70.91,74.66
1998-06-01,,70.61,74.75
1998-07-01,,70.61,74.84
1998-08-01,,70.85,74.94
1998-09-01,,71.15,75.03
1998-10-01,,71.39,75.21
1998-11-01,,71.15,75.21
1998-12-01,,71.03,75.16
1999-01-01,,70.97,75.35
1999-02-01,,71.27,75.44
1999-03-01,,71.39,75.67
1999-04-01,,71.57,76.22
1999-05-01,,71.45,76.22
1999-06-01,,71.03,76.22
1999-07-01,,70.79,76.45
1999-08-01,,71.51,76.63
1999-09-01,,71.69,77
1999-10-01,,72.23,77.14
1999-11-01,,72.11,77.18
1999-12-01,,71.99,77.18
2000-01-01,,72.31,77.41
2000-02-01,,72.53,77.87
2000-03-01,,72.9,78.51
2000-04-01,,72.6,78.56
2000-05-01,,72.24,78.65
2000-06-01,,72.6,79.06
2000-07-01,,72.9,79.25
2000-08-01,,73.26,79.25
2000-09-01,,74.21,79.66
2000-10-01,,74.14,79.8
2000-11-01,,73.7,79.84
2000-12-01,,73.99,79.8
2001-01-01,,74.8,80.3
2001-02-01,,75.16,80.62
2001-03-01,,75.82,80.81
2001-04-01,,76.11,81.13
2001-05-01,,76.04,81.49
2001-06-01,,76.26,81.63
2001-07-01,,76.4,81.4
2001-08-01,,76.7,81.4
2001-09-01,,76.62,81.77
2001-10-01,,76.62,81.49
2001-11-01,,76.19,81.36
2001-12-01,,76.33,81.03
2002-01-01,,76.77,81.22
2002-02-01,,77.14,81.54
2002-03-01,,77.57,82
2002-04-01,,78.01,82.46
2002-05-01,,78.31,82.46
2002-06-01,,78.23,82.5
2002-07-01,,78.01,82.59
2002-08-01,,78.53,82.87
2002-09-01,,78.96,83.01
2002-10-01,,78.74,83.14
2002-11-01,,78.82,83.14
2002-12-01,,79.18,82.96
2003-01-01,,79.7,83.33
2003-02-01,,80.13,83.97
2003-03-01,,81.08,84.47
2003-04-01,,80.94,84.29
2003-05-01,,80.79,84.15
2003-06-01,,80.57,84.24
2003-07-01,,80.5,84.34
2003-08-01,,80.86,84.66
2003-09-01,,81.6,84.93
2003-10-01,,81.67,84.84
2003-11-01,,81.52,84.61
2003-12-01,,81.89,84.52
2004-01-01,,82.4,84.93
2004-02-01,,82.77,85.39
2004-03-01,,83.57,85.94
2004-04-01,,83.57,86.22
2004-05-01,,83.5,86.72
2004-06-01,,83.5,87
2004-07-01,,84.01,86.86
2004-08-01,,84.74,86.9
2004-09-01,,84.74,87.09
2004-10-01,,84.74,87.55
2004-11-01,,84.23,87.59
2004-12-01,,84.37,87.27
2005-01-01,,85.2,87.45
2005-02-01,,85.55,87.96
2005-03-01,,86.07,88.65
2005-04-01,,86.15,89.24
2005-05-01,,86.07,89.15
2005-06-01,,85.81,89.2
2005-07-01,,86.15,89.61
2005-08-01,,86.41,90.07
2005-09-01,,86.84,91.17
2005-10-01,,86.67,91.35
2005-11-01,,86.33,90.62
2005-12-01,,86.58,90.25
2006-01-01,,87.1,90.94
2006-02-01,,87.27,91.12
2006-03-01,,87.79,91.63
2006-04-01,,87.88,92.41
2006-05-01,,88.05,92.87
2006-06-01,,87.88,93.05
2006-07-01,,88.22,93.32
2006-08-01,,88.74,93.51
2006-09-01,,89,93.05
2006-10-01,,88.57,92.55
2006-11-01,,88.13,92.41
2006-12-01,,88.39,92.55
2007-01-01,,88.57,92.83
2007-02-01,,89.17,93.32
2007-03-01,,89.69,94.17
2007-04-01,,90.03,94.79
2007-05-01,,90.12,95.37
2007-06-01,,90.12,95.55
2007-07-01,,90.46,95.53
2007-08-01,,90.55,95.35
2007-09-01,,91.06,95.61
2007-10-01,,91.24,95.82
