항목명1,국고채(3년)(연%),국고채(5년)(연%)
2019/01/01,,
2019/01/02,1.802,1.873
2019/01/03,1.796,1.869
2019/01/04,1.797,1.866
2019/01/05,,
2019/01/06,,
2019/01/07,1.807,1.877
2019/01/08,1.81,1.892
2019/01/09,1.809,1.895
2019/01/10,1.796,1.86
2019/01/11,1.804,1.877
2019/01/12,,
2019/01/13,,
2019/01/14,1.797,1.858
2019/01/15,1.797,1.86
2019/01/16,1.803,1.871
2019/01/17,1.795,1.871
2019/01/18,1.814,1.895
2019/01/19,,
2019/01/20,,
2019/01/21,1.821,1.898
2019/01/22,1.803,1.873
2019/01/23,1.803,1.865
2019/01/24,1.81,1.876
2019/01/25,1.812,1.884
2019/01/26,,
2019/01/27,,
2019/01/28,1.82,1.891
2019/01/29,1.823,1.898
2019/01/30,1.827,1.914
2019/01/31,1.809,1.883
2019/02/01,1.803,1.876
2019/02/02,,
2019/02/03,,
2019/02/04,,
2019/02/05,,
2019/02/06,,
2019/02/07,1.801,1.876
2019/02/08,1.786,1.853
2019/02/09,,
2019/02/10,,
2019/02/11,1.781,1.837
2019/02/12,1.796,1.856
2019/02/13,1.801,1.87
2019/02/14,1.794,1.864
2019/02/15,1.779,1.84
2019/02/16,,
2019/02/17,,
2019/02/18,1.804,1.87
2019/02/19,1.8,1.867
2019/02/20,1.802,1.871
2019/02/21,1.811,1.881
2019/02/22,1.814,1.885
2019/02/23,,
2019/02/24,,
2019/02/25,1.819,1.89
2019/02/26,1.816,1.884
2019/02/27,1.808,1.873
2019/02/28,1.813,1.876
2019/03/01,,
2019/03/02,,
2019/03/03,,
2019/03/04,1.834,1.907
2019/03/05,1.836,1.911
2019/03/06,1.828,1.9
2019/03/07,1.817,1.884
2019/03/08,1.802,1.863
2019/03/09,,
2019/03/10,,
2019/03/11,1.81,1.868
2019/03/12,1.81,1.87
2019/03/13,1.795,1.853
2019/03/14,1.793,1.851
2019/03/15,1.803,1.865
2019/03/16,,
2019/03/17,,
2019/03/18,1.812,1.871
2019/03/19,1.81,1.863
2019/03/20,1.813,1.866
2019/03/21,1.793,1.829
2019/03/22,1.8,1.827
2019/03/23,,
2019/03/24,,
2019/03/25,1.77,1.785
2019/03/26,1.763,1.788
2019/03/27,1.722,1.743
2019/03/28,1.679,1.703
2019/03/29,1.69,1.708
2019/03/30,,
2019/03/31,,
2019/04/01,1.726,1.742
2019/04/02,1.706,1.73
2019/04/03,1.72,1.754
2019/04/04,1.72,1.754
2019/04/05,1.735,1.777
2019/04/06,,
2019/04/07,,
2019/04/08,1.723,1.76
2019/04/09,1.725,1.759
2019/04/10,1.731,1.761
2019/04/11,1.732,1.76
2019/04/12,1.733,1.769
2019/04/13,,
2019/04/14,,
2019/04/15,1.761,1.805
2019/04/16,1.765,1.807
2019/04/17,1.778,1.823
2019/04/18,1.741,1.776
2019/04/19,1.756,1.788
2019/04/20,,
2019/04/21,,
2019/04/22,1.769,1.815
2019/04/23,1.768,1.806
2019/04/24,1.749,1.791
2019/04/25,1.724,1.758
2019/04/26,1.72,1.751
2019/04/27,,
2019/04/28,,
2019/04/29,1.712,1.743
2019/04/30,1.699,1.728
2019/05/01,,
2019/05/02,1.732,1.765
2019/05/03,1.739,1.775
2019/05/04,,
2019/05/05,,
2019/05/06,,
2019/05/07,1.723,1.759
2019/05/08,1.717,1.755
2019/05/09,1.708,1.744
2019/05/10,1.719,1.762
