날짜,금융투자,보험,투신,은행,기타금융,연기금등,기타법인,개인,외국인,합계
2021-04,"652,448","15,861","41,496","88,392","8,563","13,000","1,261","41,176","666,620","1,528,817"
2021-03,"865,635","35,192","57,157","99,017","8,173","18,136","12,154","50,105","987,570","2,133,139"
2021-02,"493,200","9,060","24,707","72,817","9,271","8,964","9,614","12,201","531,902","1,171,736"
2021-01,"511,951","8,630","24,569","54,572","5,036","6,609","25,072","13,094","467,830","1,117,363"
2020-12,"639,813","14,434","33,473","61,808","3,118","15,094","23,599","20,986","702,959","1,515,284"
2020-11,"494,710","10,337","23,135","51,713","3,369","6,978",855,"10,899","609,688","1,211,684"
2020-10,"482,972","11,144","24,613","49,404","3,191","7,118","1,015","8,787","626,618","1,214,862"
2020-09,"817,662","20,154","41,335","95,443","3,590","19,559","1,468","22,745","766,617","1,788,573"
2020-08,"568,723","8,991","22,275","65,854","3,661","6,192","1,021","12,837","554,935","1,244,489"
2020-07,"556,893","11,339","26,569","64,399","3,657","7,770","1,326","10,056","480,184","1,162,193"
2020-06,"874,730","24,220","50,619","139,842","4,274","27,510","1,432","33,050","697,577","1,853,254"
2020-05,"488,794","13,070","32,770","75,919","3,270","10,498","1,030","12,496","352,406","990,253"
2020-04,"524,271","13,707","41,339","76,653","3,125","12,162","1,024","12,759","409,516","1,094,556"
2020-03,"883,137","33,488","77,291","159,130","5,827","29,987","16,475","46,572","986,414","2,238,321"
2020-02,"680,844","18,729","44,415","125,793","3,835","17,175","1,515","11,311","811,604","1,715,221"
2020-01,"612,418","19,073","31,269","173,883","5,475","11,131","1,327","22,679","756,572","1,633,827"
2019-12,"616,480","17,909","40,190","113,412","3,317","18,626","1,354","25,201","645,806","1,482,295"
2019-11,"559,272","13,400","36,835","115,674","3,560","8,707","1,000","37,104","698,906","1,474,458"
2019-10,"641,446","15,060","36,438","131,176","4,913","7,478","1,251","25,259","773,387","1,636,408"
2019-09,"736,430","16,894","39,413","164,585","3,444","13,179","1,873","44,855","746,784","1,767,457"
2019-08,"684,228","9,987","41,331","149,586","4,378","9,687","4,388","17,705","770,598","1,691,888"
2019-07,"569,214","9,467","50,901","141,349",920,"4,423","2,070","11,127","570,824","1,360,295"
2019-06,"789,519","20,216","48,259","220,994",0,"16,984","3,172","21,894","628,288","1,749,326"
2019-05,"481,016","12,333","28,276","159,752",0,"4,722","2,258","11,901","594,837","1,295,095"
2019-04,"585,569","12,577","24,787","187,011",0,"5,028","5,284","18,246","629,081","1,467,583"
2019-03,"693,433","26,897","33,695","260,966",0,"19,945","5,927","20,767","593,032","1,654,662"
2019-02,"335,121","6,696","16,274","176,306",0,"5,129","4,195","9,766","369,805","923,292"
2019-01,"494,236","15,839","26,968","173,260",0,"8,717","7,904","14,427","491,737","1,233,088"
2018-12,"916,473","17,459","27,657","182,340",0,"11,013","7,762","20,278","564,365","1,747,347"
2018-11,"549,100","9,703","17,241","191,273",0,"3,907","6,267","9,787","456,026","1,243,304"
2018-10,"551,421","13,517","18,779","168,173",35,"4,756","7,558","10,557","486,652","1,261,448"
2018-09,"846,875","18,861","23,726","175,892",340,"8,460","6,708","13,512","608,038","1,702,412"
2018-08,"608,713","12,700","11,711","171,110",64,"2,332","6,438","19,341","475,028","1,307,437"
2018-07,"476,241","14,502","15,841","150,980",50,"4,699","5,759","12,364","393,201","1,073,637"
2018-06,"692,815","21,868","30,845","162,441",90,"9,796","6,600","25,399","443,939","1,393,793"
2018-05,"567,892","14,508","20,643","113,903",0,"5,714","7,922","25,821","396,897","1,153,300"
2018-04,"515,161","13,426","19,722","118,878",0,"5,071","6,590","11,529","318,056","1,008,433"
2018-03,"716,409","18,832","31,527","119,866",0,"9,492","6,405","23,815","373,779","1,300,125"
2018-02,"443,091","12,258","15,805","113,424",90,"5,092","7,661","15,257","296,219","908,897"
2018-01,"507,933","12,218","21,532","132,297",0,"4,225","9,224","20,922","327,906","1,036,257"
2017-12,"413,589","15,987","29,783","107,268",50,"7,988","6,916","14,943","252,674","849,198"
2017-11,"390,798","10,247","19,505","82,509",10,"2,870","10,194","14,309","212,067","742,509"
2017-10,"350,941","12,398","31,734","85,860",35,"2,032","7,796","10,662","304,727","806,185"
2017-09,"608,375","21,413","43,592","168,742",35,"7,627","7,154","9,382","410,447","1,276,767"
2017-08,"454,227","13,821","25,194","131,368",20,"3,832","6,491","13,047","299,087","947,087"
2017-07,"464,949","15,370","22,836","145,838",40,"2,953","6,509","11,379","319,654","989,528"
2017-06,"634,522","22,879","48,292","220,850",15,"12,434","7,437","12,750","428,092","1,387,271"
2017-05,"439,700","15,484","18,773","132,976",105,"4,119","3,878","11,412","205,431","831,878"
2017-04,"480,529","18,335","27,970","134,200",135,"7,029","4,357","22,818","260,517","955,890"
2017-03,"724,683","23,224","58,852","169,277",165,"11,154","6,220","25,434","465,398","1,484,407"
2017-02,"504,165","19,658","26,993","135,777",10,"4,533","5,700","23,772","315,976","1,036,584"
2017-01,"429,579","14,487","25,230","104,717",25,"5,384","5,945","24,626","239,591","849,584"
2016-12,"446,619","18,200","43,728","96,556",28,"11,725","7,494","35,513","280,112","939,975"
2016-11,"646,789","17,646","42,657","113,677",23,"8,539","9,990","45,704","533,634","1,418,659"
2016-10,"816,763","13,325","36,245","142,478",15,"5,520","8,557","32,158","487,737","1,542,798"
2016-09,"838,880","22,558","37,501","167,938",50,"9,958","6,193","22,478","484,712","1,590,268"
2016-08,"643,078","11,311","17,342","145,876",25,"5,287","4,526","15,609","354,844","1,197,898"
2016-07,"660,500","10,668","24,931","134,516",56,"5,650","4,639","14,785","448,708","1,304,453"
2016-06,"637,954","21,998","40,289","185,179",39,"13,985","5,869","12,617","474,391","1,392,321"
2016-05,"434,341","12,246","19,930","99,901",6,"5,401","4,672","7,492","273,089","857,078"
2016-04,"530,424","14,698","19,083","108,055",24,"6,926","6,632","12,281","330,642","1,028,765"
2016-03,"702,763","25,171","27,535","155,712",53,"13,540","7,665","19,476","410,567","1,362,482"
2016-02,"445,776","15,812","13,707","94,905",56,"6,269","7,461","19,374","287,167","890,527"
2016-01,"503,380","15,754","14,953","113,632",16,"6,656","9,480","19,974","284,725","968,570"
2015-12,"424,961","17,691","21,344","97,360",21,"12,213","8,350","23,223","236,795","841,958"
2015-11,"487,787","13,360","18,669","106,255",46,"5,721","9,531","32,730","208,226","882,325"
2015-10,"570,961","19,051","16,490","104,536",11,"6,450","10,535","27,471","226,849","982,354"
2015-09,"603,761","21,073","19,499","120,337",45,"12,096","9,404","26,893","328,222","1,141,330"
