날짜,금융투자,보험,투신,은행,기타금융,연기금등,기타법인,개인,외국인,합계
2021-04,"657,455","12,888","41,896","83,243","8,241","8,535","1,231","33,221","682,107","1,528,817"
2021-03,"863,369","31,172","54,325","98,658","8,374","22,994","12,084","57,317","984,846","2,133,139"
2021-02,"527,272","10,671","23,072","73,546","9,301","9,707","9,162","12,092","496,913","1,171,736"
2021-01,"515,521","9,742","26,370","53,683","5,036","8,707","25,492","9,945","462,867","1,117,363"
2020-12,"663,938","16,496","37,442","56,226","3,188","17,272","23,973","16,816","679,933","1,515,284"
2020-11,"497,941","11,909","27,214","56,021","3,389","8,881",840,"11,003","594,486","1,211,684"
2020-10,"496,348","11,822","21,732","48,995","3,206","7,466","1,035","8,879","615,379","1,214,862"
2020-09,"814,273","18,101","38,858","91,943","3,751","19,627","1,440","24,210","776,370","1,788,573"
2020-08,"573,987","13,741","26,440","63,176","3,571","13,785","1,018","13,127","535,644","1,244,489"
2020-07,"543,991","9,271","21,051","62,341","3,706","6,046","1,337","11,606","502,844","1,162,193"
2020-06,"866,392","25,003","50,108","142,919","4,314","27,208","1,374","31,507","704,429","1,853,254"
2020-05,"463,769","11,597","31,557","81,027","3,005","7,699","1,099","12,499","378,001","990,253"
2020-04,"515,618","13,100","42,324","65,772","3,075","10,501","1,041","18,152","424,973","1,094,556"
2020-03,"901,995","38,053","75,850","147,255","5,857","30,164","16,392","50,583","972,172","2,238,321"
2020-02,"644,544","15,065","43,440","134,681","3,720","8,863","1,589","10,982","852,337","1,715,221"
2020-01,"600,245","17,764","35,443","175,460","5,510","10,400","1,379","13,422","774,204","1,633,827"
2019-12,"620,979","17,039","39,062","118,281","3,397","18,437","1,372","38,922","624,806","1,482,295"
2019-11,"567,797","12,871","38,879","117,168","3,765","11,715",952,"27,271","694,040","1,474,458"
2019-10,"662,867","16,274","36,417","131,910","4,698","8,137","1,168","31,479","743,458","1,636,408"
2019-09,"756,731","19,802","41,001","165,970","3,644","15,006","1,914","35,887","727,502","1,767,457"
2019-08,"683,414","10,997","42,015","145,846","4,328","8,602","4,142","20,141","772,403","1,691,888"
2019-07,"576,892","10,690","47,908","143,682",700,"6,923","2,302","12,784","558,414","1,360,295"
