날짜,금융투자,보험,투신,은행,기타금융,연기금등,기타법인,개인,외국인,합계
2021-04,"1,271,081","14,499","80,358","161,312","17,509","17,137","2,175","26,196","1,170,739","2,761,006"
2021-03,"2,428,225","28,897","126,220","243,586","23,688","61,083","37,777","64,162","2,199,647","5,213,285"
2021-02,"820,308","9,034","32,765","123,781","9,550","6,057","9,974","18,206","984,980","2,014,655"
2021-01,"814,237","8,032","33,107","96,468","8,388","9,878","19,327","19,638","801,610","1,810,685"
2020-12,"1,042,026","17,472","45,078","102,546","6,261","39,582","24,370","58,700","1,117,847","2,453,882"
2020-11,"773,000","7,225","36,262","106,720","6,890","11,188","1,801","9,005","964,190","1,916,281"
2020-10,"671,427","7,712","37,971","85,395","4,945","7,861","1,112","4,912","773,565","1,594,900"
2020-09,"1,555,396","20,152","72,183","158,753","7,656","39,083","11,509","72,764","1,253,639","3,191,135"
2020-08,"844,374","9,785","43,555","100,373","6,110","10,670","1,250","6,212","725,549","1,747,878"
2020-07,"720,327","10,683","34,518","88,298","7,353","8,654","1,369","8,198","574,803","1,454,203"
2020-06,"1,632,801","21,548","63,917","174,402","8,547","36,467","11,890","93,822","1,161,836","3,205,230"
2020-05,"853,502","12,944","47,444","153,543","4,850","15,901","2,699","8,316","599,864","1,699,063"
2020-04,"946,442","9,545","43,886","125,496","7,028","14,369","1,428","12,990","752,296","1,913,480"
2020-03,"2,082,000","30,145","96,014","304,478","14,632","39,595","16,343","87,826","1,910,905","4,581,938"
2020-02,"1,531,640","17,906","81,846","267,905","9,271","21,472","20,956","22,406","1,567,300","3,540,702"
2020-01,"1,137,584","15,618","57,487","292,526","8,580","12,022","8,334","35,752","1,296,060","2,863,963"
2019-12,"877,650","17,311","55,077","162,894","5,572","34,965","11,601","31,441","1,081,119","2,277,630"
2019-11,"1,091,008","8,578","54,639","187,318","7,380","10,005","2,176","59,070","1,392,313","2,812,487"
2019-10,"1,236,773","11,545","70,030","200,652","8,044","17,336","2,834","27,221","1,325,442","2,899,877"
2019-09,"1,374,159","17,718","60,840","225,679","5,331","35,938","9,262","79,305","1,362,866","3,171,098"
