날짜,"선물국채3년_외국인거래량
(매수)","선물국채3년_외국인거래량
(매도)"
2021/05/13,"41,392","41,138"
2021/05/12,"31,900","35,625"
2021/05/11,"46,401","50,340"
2021/05/10,"39,389","41,791"
2021/05/07,"41,873","40,224"
2021/05/06,"40,900","33,726"
2021/05/04,"49,431","44,881"
2021/05/03,"68,472","57,190"
2021/04/30,"41,059","45,017"
2021/04/29,"28,218","29,125"
2021/04/28,"43,104","52,675"
2021/04/27,"57,545","50,846"
2021/04/26,"59,953","56,797"
2021/04/23,"40,564","45,270"
2021/04/22,"45,074","37,669"
2021/04/21,"46,753","48,525"
2021/04/20,"42,488","38,556"
2021/04/19,"40,687","35,957"
2021/04/16,"53,503","53,057"
2021/04/15,"86,819","94,845"
2021/04/14,"49,076","42,898"
2021/04/13,"74,413","79,584"
2021/04/12,"56,205","59,541"
2021/04/09,"74,608","70,968"
2021/04/08,"62,918","54,288"
2021/04/07,"54,416","49,849"
2021/04/06,"54,046","46,370"
2021/04/05,"70,909","75,473"
2021/04/02,"45,938","49,106"
2021/04/01,"54,194","54,323"
2021/03/31,"57,064","57,797"
2021/03/30,"60,546","63,189"
2021/03/29,"36,526","31,347"
2021/03/26,"60,544","55,353"
2021/03/25,"62,721","64,675"
2021/03/24,"68,543","56,956"
2021/03/23,"69,992","59,502"
2021/03/22,"82,957","81,180"
2021/03/19,"93,850","94,544"
2021/03/18,"80,473","85,677"
2021/03/17,"52,611","55,182"
2021/03/16,"104,602","120,910"
2021/03/15,"340,803","343,633"
2021/03/12,"278,348","281,725"
2021/03/11,"204,701","212,717"
2021/03/10,"102,306","106,857"
2021/03/09,"139,646","126,635"
2021/03/08,"91,587","88,774"
2021/03/05,"69,370","74,574"
2021/03/04,"34,145","35,357"
2021/03/03,"38,039","39,053"
2021/03/02,"64,716","64,010"
2021/02/26,"115,197","128,980"
2021/02/25,"99,269","81,177"
2021/02/24,"54,333","54,195"
2021/02/23,"45,150","53,085"
2021/02/22,"76,162","100,892"
2021/02/19,"47,189","48,749"
2021/02/18,"20,485","25,453"
2021/02/17,"40,248","56,632"
2021/02/16,"31,436","33,748"
2021/02/15,"39,909","38,389"
2021/02/10,"46,106","45,943"
2021/02/09,"37,800","36,216"
2021/02/08,"52,245","65,741"
2021/02/05,"36,600","36,201"
2021/02/04,"37,758","44,843"
2021/02/03,"45,392","41,667"
2021/02/02,"41,168","39,074"
2021/02/01,"48,558","53,995"
2021/01/29,"39,834","31,630"
2021/01/28,"47,671","49,703"
2021/01/27,"34,141","32,135"
2021/01/26,"36,243","41,401"
2021/01/25,"39,839","50,540"
2021/01/22,"32,688","42,319"
2021/01/21,"22,720","21,359"
2021/01/20,"21,048","18,174"
2021/01/19,"32,262","33,353"
2021/01/18,"26,899","23,191"
2021/01/15,"45,567","56,882"
2021/01/14,"34,172","46,095"
2021/01/13,"42,761","37,006"
2021/01/12,"38,355","40,791"
2021/01/11,"46,844","44,253"
2021/01/08,"33,255","31,827"
2021/01/07,"39,406","43,807"
2021/01/06,"56,863","55,793"
2021/01/05,"52,618","46,629"
2021/01/04,"59,683","54,722"
2020/12/30,"21,484","23,475"
2020/12/29,"42,417","43,266"
2020/12/28,"34,543","39,782"
2020/12/24,"24,086","25,173"
2020/12/23,"46,811","34,443"
2020/12/22,"57,807","41,555"
2020/12/21,"32,518","28,581"
2020/12/18,"22,971","32,611"
2020/12/17,"41,402","55,090"
2020/12/16,"26,300","34,645"
2020/12/15,"86,114","84,414"
2020/12/14,"131,252","135,673"
2020/12/11,"178,217","182,849"
2020/12/10,"137,137","137,472"
2020/12/09,"39,208","32,782"
2020/12/08,"43,435","37,973"
2020/12/07,"39,640","31,243"
2020/12/04,"29,897","23,252"
2020/12/03,"21,033","23,136"
2020/12/02,"33,184","36,199"
2020/12/01,"29,099","34,233"
2020/11/30,"30,614","28,109"
2020/11/27,"28,403","34,227"
2020/11/26,"52,189","64,183"
2020/11/25,"57,518","67,878"
2020/11/24,"26,894","28,608"
2020/11/23,"33,183","24,992"
2020/11/20,"28,605","31,902"
2020/11/19,"34,353","37,785"
2020/11/18,"32,323","28,792"
2020/11/17,"44,476","40,626"
2020/11/16,"26,081","23,661"
2020/11/13,"58,752","54,657"
2020/11/12,"53,122","48,246"
2020/11/11,"45,140","60,533"
2020/11/10,"73,738","72,327"
2020/11/09,"29,301","39,217"
2020/11/06,"39,848","41,737"
2020/11/05,"44,726","41,913"
2020/11/04,"75,706","86,392"
2020/11/03,"58,432","59,828"
2020/11/02,"42,837","48,577"
2020/10/30,"23,846","29,959"
2020/10/29,"28,694","30,979"
2020/10/28,"25,919","22,683"
2020/10/27,"32,545","33,754"
2020/10/26,"24,012","24,781"
2020/10/23,"41,642","39,589"
2020/10/22,"21,710","28,894"
2020/10/21,"49,229","55,605"
2020/10/20,"49,947","42,071"
2020/10/19,"66,683","66,681"
2020/10/16,"30,339","28,484"
2020/10/15,"52,053","44,229"
2020/10/14,"58,104","56,334"
2020/10/13,"32,184","33,742"
2020/10/12,"32,357","35,634"
2020/10/08,"37,322","34,502"
2020/10/07,"50,711","52,054"
2020/10/06,"67,800","63,174"
2020/10/05,"51,147","50,416"
2020/09/29,"50,761","51,037"
2020/09/28,"38,752","32,154"
2020/09/25,"37,728","38,016"
2020/09/24,"54,818","43,397"
2020/09/23,"51,017","33,084"
2020/09/22,"34,110","29,628"
2020/09/21,"35,855","30,129"
2020/09/18,"32,064","29,304"
2020/09/17,"25,368","22,876"
2020/09/16,"34,366","28,205"
2020/09/15,"52,024","45,775"
2020/09/14,"128,413","124,577"
2020/09/11,"255,318","256,536"
2020/09/10,"153,565","157,197"
2020/09/09,"30,544","31,444"
2020/09/08,"36,113","34,007"
2020/09/07,"32,237","29,867"
2020/09/04,"43,311","37,225"
2020/09/03,"47,155","53,863"
2020/09/02,"55,355","71,352"
2020/09/01,"53,446","73,966"
2020/08/31,"53,488","65,768"
2020/08/28,"35,280","66,733"
2020/08/27,"42,554","48,078"
